53092206	Caballero o consentida                                                	Automaton Writings                 	1901	Libro       	Sandra Magnolia                    	Pérez          	García         	Aitana                             	Marañón        	Torres         	                                   	               	               	Estomatología                                     	29800482	Esmeralda                          	Maqueda        	Linares        	18-Septiembre-2003	19-Septiembre-2003	Matemáticas                                                 	29026122	Lidia                              	Ruiz           	Albarracín     	07-Noviembre-2003 	22-Noviembre-2003 	Derecho Privado                                             	        	                                   	               	               	                  	                  	                                                            
17892616	Vida o imposible                                                      	Archer                             	1965	Libro       	Carlota                            	Ali            	Valleriestra   	Jaime                              	Montes         	Quintana       	María de la Aurora                 	Briceño        	Padua          	Urología                                          	        	                                   	               	               	                  	                  	                                                            	        	                                   	               	               	                  	                  	                                                            	        	                                   	               	               	                  	                  	                                                            
77030840	Ranas tomillo                                                         	Ediciones Asteroide                	1885	Revista     	Rubén                              	Torres         	Chaparro       	                                   	               	               	                                   	               	               	Comic                                             	        	                                   	               	               	                  	                  	                                                            	        	                                   	               	               	                  	                  	                                                            	        	                                   	               	               	                  	                  	                                                            
15072501	Geranios                                                              	Aureola                            	1929	Libro       	Romeo                              	Paraguay       	Navarrete      	Adriana                            	Paja           	Alcántara      	                                   	               	               	Arte: Pintura                                     	77743721	Oscar                              	Bernal         	Calero         	18-Septiembre-2003	28-Septiembre-2003	Periodismo y Comunicación Audiovisual                       	24672306	Argenta                            	García         	Díaz           	18-Noviembre-2003 	16-Diciembre-2003 	Ingeniería Eléctrica                                        	59781965	Domnino                            	Pérez          	Reyes          	05-Septiembre-2003	12-Septiembre-2003	Ingeniería Mecánica                                         
78692059	Estación y barril                                                     	Pradenario                         	1937	Libro       	Aldonza                            	Vera           	Hernández      	Cecilia                            	Reyes          	Delacruz       	                                   	               	               	Física Nuclear                                    	85951684	César Víctor                       	Rodríguez      	Pereyra        	15-Septiembre-2004	30-Septiembre-2004	Tecnología Electrónica                                      	        	                                   	               	               	                  	                  	                                                            	        	                                   	               	               	                  	                  	                                                            
21371189	Charca de lilas                                                       	Archer                             	1916	Tesis       	Ana Clemencia                      	Basualdo       	Gamarra        	Francisca Severina                 	Bertolotti     	Gómez          	                                   	               	               	Cardiología                                       	30318568	Ana Dorotea                        	Yupanqui       	Larrauri       	19-Abril-2004     	12-Mayo-2004      	Ingeniería Eléctrica                                        	        	                                   	               	               	                  	                  	                                                            	        	                                   	               	               	                  	                  	                                                            
00448074	Charca                                                                	Meloducto Books                    	1888	Libro       	Francisco                          	Mantilla       	Pérez          	                                   	               	               	                                   	               	               	Sistemas de Información                           	65401270	Fernando                           	Buitrón        	Ruiz           	13-Octubre-2003   	06-Noviembre-2003 	Humanidades                                                 	        	                                   	               	               	                  	                  	                                                            	        	                                   	               	               	                  	                  	                                                            
22688248	Educado y puzzle                                                      	Fuerteventura Enciclopedias Inc.   	1960	Libro       	Antonia                            	Murrugarra     	Ruiz           	Vladimiro                          	Inga           	Gómez          	Alejandro                          	Olivares       	Ventocilla     	Historia de las Civilizaciones                    	44737259	Ubalda                             	Ortiz          	Cornejo        	07-Septiembre-2003	06-Octubre-2003   	Economía de la Empresa                                      	61968311	María de la Almudena               	Ruiz           	Torres         	18-Mayo-2004      	13-Junio-2004     	Ingeniería de Sistemas y Automática                         	        	                                   	               	               	                  	                  	                                                            
68889161	Perro o hombre                                                        	Automaton Writings                 	1990	Libro       	Mario Jorge                        	Navarro        	Pomar          	Gerardo                            	García         	Oblitas        	                                   	               	               	Estadística                                       	59405231	Andrés                             	García         	Siaden         	16-Octubre-2003   	27-Octubre-2003   	Informática                                                 	07697995	Pablo                              	Jiménez        	Retis          	20-Abril-2004     	11-Mayo-2004      	Ingeniería de Sistemas y Automática                         	        	                                   	               	               	                  	                  	                                                            
09102135	Mambo                                                                 	Armaggedom Readings                	1890	Revista     	Amparo                             	Ruiz           	Meléndez       	                                   	               	               	                                   	               	               	Macroeconomía                                     	18442897	Ignacio Roberto                    	Abanto         	Marcos         	23-Enero-2004     	08-Febrero-2004   	Física                                                      	73576887	César                              	Martínez       	Camayo         	23-Abril-2004     	09-Mayo-2004      	Teoría de la Señal y Comunicaciones                         	        	                                   	               	               	                  	                  	                                                            
08276715	Pollo                                                                 	Editorial Atalaya                  	1911	Libro       	Francisca Justina                  	Aliaga         	Nakama         	Mercedes                           	Manrique       	Vázquez        	María de la Piedad                 	Palacios       	Marreros       	Lógica Formal                                     	21318164	Prodigio                           	Alba           	Alatriste      	07-Agosto-2004    	28-Agosto-2004    	Ciencias de los Materiales e Ingeniería Metalúrgica         	97792236	Presentación                       	Guerrero       	Peche          	22-Noviembre-2003 	25-Noviembre-2003 	Ingeniería Mecánica                                         	51279819	Sibilia                            	Ríos           	Amancio        	29-Agosto-2004    	30-Agosto-2004    	Informática                                                 
68935583	Anillo                                                                	Pradenario                         	1956	Libro       	Visitación                         	Colombier      	León           	Alberto                            	Mogollón       	Iparraguirre   	                                   	               	               	Redacción Periodística                            	52648398	Miren                              	Rodríguez      	Rivas          	25-Enero-2004     	13-Febrero-2004   	Física                                                      	71383173	Ricardo Jesús                      	Okuma          	Aquino         	26-Noviembre-2003 	27-Noviembre-2003 	Ingeniería Telemática                                       	15394375	Herminia                           	Peinado        	Calero         	13-Julio-2004     	29-Julio-2004     	Sección Departamental de Organización de Empresa            
31157804	Hermano                                                               	Silkbooks                          	1966	Libro       	Francisca Severina                 	Bertolotti     	Gómez          	                                   	               	               	                                   	               	               	Ética en la Ingeniería                            	        	                                   	               	               	                  	                  	                                                            	        	                                   	               	               	                  	                  	                                                            	        	                                   	               	               	                  	                  	                                                            
62232655	Caballos salvajes                                                     	Perico Librote's                   	1927	Video       	María del Pino                     	Marchena       	Almeida        	Teopista                           	Orejuela       	Barba          	                                   	               	               	Poesía                                            	21928957	Ricardo                            	Matos          	Núñez          	10-Octubre-2003   	20-Octubre-2003   	Economía de la Empresa                                      	29273255	Violeta                            	Calderón       	Gómez          	04-Septiembre-2003	05-Septiembre-2003	Derecho Público del Estado                                  	        	                                   	               	               	                  	                  	                                                            
